 ,Label,Area,Perim.,Major,Minor,Angle,Circ.,IntDen,RawIntDen,AR,Round,Solidity
680,8 pat OD ki67 (561)_0004_C001T001_colony_37.tiff,2338,184.652,66.136,45.011,57.337,0.862,596190,596190,1.469,0.681,0.969
681,8 pat OD ki67 (561)_0004_C001T001_colony_38.tiff,2914,205.823,71.311,52.028,159.174,0.864,743070,743070,1.371,0.730,0.972
682,8 pat OD ki67 (561)_0004_C001T001_colony_4.tiff,2754,197.581,67.113,52.248,20.070,0.887,702270,702270,1.285,0.779,0.972
683,8 pat OD ki67 (561)_0004_C001T001_colony_5.tiff,2713,202.794,74.516,46.356,44.112,0.829,691815,691815,1.607,0.622,0.968
684,8 pat OD ki67 (561)_0004_C001T001_colony_6.tiff,2844,211.723,70.120,51.641,96.395,0.797,725220,725220,1.358,0.736,0.951
685,8 pat OD ki67 (561)_0004_C001T001_colony_7.tiff,2821,203.622,71.257,50.406,176.281,0.855,719355,719355,1.414,0.707,0.970
686,8 pat OD ki67 (561)_0004_C001T001_colony_8.tiff,2505,189.924,66.597,47.892,78.349,0.873,638775,638775,1.391,0.719,0.973
687,8 pat OD ki67 (561)_0004_C001T001_colony_9.tiff,2440,185.581,62.650,49.588,46.536,0.890,622200,622200,1.263,0.792,0.974
688,8 pat OD ki67 (561)_0005_C001T001_colony_1.tiff,2229,189.581,54.788,51.800,101.845,0.779,568395,568395,1.058,0.945,0.924
689,8 pat OD ki67 (561)_0005_C001T001_colony_10.tiff,1897,163.439,54.879,44.012,168.194,0.892,483735,483735,1.247,0.802,0.965
690,8 pat OD ki67 (561)_0005_C001T001_colony_11.tiff,2412,185.338,64.886,47.330,160.019,0.882,615060,615060,1.371,0.729,0.976
691,8 pat OD ki67 (561)_0005_C001T001_colony_12.tiff,1921,167.095,55.328,44.207,54.250,0.865,489855,489855,1.252,0.799,0.967
692,8 pat OD ki67 (561)_0005_C001T001_colony_13.tiff,2779,198.894,67.001,52.810,39.098,0.883,708645,708645,1.269,0.788,0.974
693,8 pat OD ki67 (561)_0005_C001T001_colony_14.tiff,4203,252.149,88.282,60.618,150.721,0.831,1071765,1071765,1.456,0.687,0.960
694,8 pat OD ki67 (561)_0005_C001T001_colony_15.tiff,2149,174.894,62.006,44.128,123.504,0.883,547995,547995,1.405,0.712,0.971
695,8 pat OD ki67 (561)_0005_C001T001_colony_16.tiff,2179,175.095,61.210,45.326,160.258,0.893,555645,555645,1.350,0.741,0.973
696,8 pat OD ki67 (561)_0005_C001T001_colony_17.tiff,3793,238.794,81.590,59.191,96.345,0.836,967215,967215,1.378,0.725,0.969
697,8 pat OD ki67 (561)_0005_C001T001_colony_18.tiff,3151,209.480,69.031,58.119,11.965,0.902,803505,803505,1.188,0.842,0.978
698,8 pat OD ki67 (561)_0005_C001T001_colony_19.tiff,2959,203.480,67.752,55.607,39.320,0.898,754545,754545,1.218,0.821,0.974
699,8 pat OD ki67 (561)_0005_C001T001_colony_2.tiff,2962,205.924,72.224,52.217,177.890,0.878,755310,755310,1.383,0.723,0.978
700,8 pat OD ki67 (561)_0005_C001T001_colony_20.tiff,2665,202.693,77.201,43.953,47.681,0.815,679575,679575,1.756,0.569,0.962
701,8 pat OD ki67 (561)_0005_C001T001_colony_21.tiff,4378,257.279,91.342,61.026,10.967,0.831,1116390,1116390,1.497,0.668,0.973
702,8 pat OD ki67 (561)_0005_C001T001_colony_22.tiff,4002,248.451,87.196,58.438,19.955,0.815,1020510,1020510,1.492,0.670,0.967
703,8 pat OD ki67 (561)_0005_C001T001_colony_3.tiff,2675,194.652,64.895,52.483,167.658,0.887,682125,682125,1.236,0.809,0.972
704,8 pat OD ki67 (561)_0005_C001T001_colony_4.tiff,2503,194.409,63.666,50.057,22.686,0.832,638265,638265,1.272,0.786,0.958
705,8 pat OD ki67 (561)_0005_C001T001_colony_5.tiff,2457,186.409,62.081,50.392,155.557,0.889,626535,626535,1.232,0.812,0.972
706,8 pat OD ki67 (561)_0005_C001T001_colony_6.tiff,2514,192.167,68.147,46.971,171.897,0.855,641070,641070,1.451,0.689,0.972
707,8 pat OD ki67 (561)_0005_C001T001_colony_7.tiff,2410,186.409,63.378,48.416,71.445,0.872,614550,614550,1.309,0.764,0.968
708,8 pat OD ki67 (561)_0005_C001T001_colony_8.tiff,2657,195.338,65.341,51.774,11.581,0.875,677535,677535,1.262,0.792,0.968
709,8 pat OD ki67 (561)_0005_C001T001_colony_9.tiff,2448,185.823,59.780,52.140,51.127,0.891,624240,624240,1.147,0.872,0.969
710,8 pat OD ki67 (561)_0006_C001T001_colony_1.tiff,2022,174.024,63.044,40.836,173.562,0.839,515610,515610,1.544,0.648,0.965
711,8 pat OD ki67 (561)_0006_C001T001_colony_10.tiff,2269,181.238,65.146,44.346,145.105,0.868,578595,578595,1.469,0.681,0.972
712,8 pat OD ki67 (561)_0006_C001T001_colony_11.tiff,2100,178.267,66.139,40.427,1.907,0.830,535500,535500,1.636,0.611,0.966
713,8 pat OD ki67 (561)_0006_C001T001_colony_12.tiff,2155,175.681,59.284,46.283,0.809,0.877,549525,549525,1.281,0.781,0.968
714,8 pat OD ki67 (561)_0006_C001T001_colony_13.tiff,1988,176.610,63.044,40.150,7.711,0.801,506940,506940,1.570,0.637,0.955
715,8 pat OD ki67 (561)_0006_C001T001_colony_14.tiff,2271,179.095,60.970,47.426,163.024,0.890,579105,579105,1.286,0.778,0.973
716,8 pat OD ki67 (561)_0006_C001T001_colony_15.tiff,2633,196.167,66.364,50.516,21.087,0.860,671415,671415,1.314,0.761,0.962
717,8 pat OD ki67 (561)_0006_C001T001_colony_16.tiff,2128,174.652,58.069,46.659,120.035,0.877,542640,542640,1.245,0.804,0.966
718,8 pat OD ki67 (561)_0006_C001T001_colony_18.tiff,2103,172.995,61.182,43.765,48.669,0.883,536265,536265,1.398,0.715,0.968
719,8 pat OD ki67 (561)_0006_C001T001_colony_19.tiff,2337,186.652,68.583,43.386,150.342,0.843,595935,595935,1.581,0.633,0.969
720,8 pat OD ki67 (561)_0006_C001T001_colony_2.tiff,2723,197.380,66.390,52.222,51.174,0.878,694365,694365,1.271,0.787,0.969
721,8 pat OD ki67 (561)_0006_C001T001_colony_20.tiff,4011,238.551,80.597,63.365,112.968,0.886,1022805,1022805,1.272,0.786,0.977
722,8 pat OD ki67 (561)_0006_C001T001_colony_21.tiff,2243,178.167,58.984,48.418,83.772,0.888,571965,571965,1.218,0.821,0.972
723,8 pat OD ki67 (561)_0006_C001T001_colony_22.tiff,2207,179.095,61.005,46.063,147.332,0.865,562785,562785,1.324,0.755,0.969
724,8 pat OD ki67 (561)_0006_C001T001_colony_23.tiff,2734,198.652,69.072,50.398,6.325,0.871,697170,697170,1.371,0.730,0.971
725,8 pat OD ki67 (561)_0006_C001T001_colony_24.tiff,2218,174.267,57.934,48.746,169.650,0.918,565590,565590,1.188,0.841,0.977
726,8 pat OD ki67 (561)_0006_C001T001_colony_25.tiff,2923,202.894,68.358,54.444,6.761,0.892,745365,745365,1.256,0.796,0.975
727,8 pat OD ki67 (561)_0006_C001T001_colony_26.tiff,2485,187.238,62.661,50.494,129.930,0.891,633675,633675,1.241,0.806,0.972
728,8 pat OD ki67 (561)_0006_C001T001_colony_27.tiff,1913,166.610,56.747,42.922,8.318,0.866,487815,487815,1.322,0.756,0.969
729,8 pat OD ki67 (561)_0006_C001T001_colony_28.tiff,3330,219.865,76.647,55.317,48.139,0.866,849150,849150,1.386,0.722,0.973
730,8 pat OD ki67 (561)_0006_C001T001_colony_29.tiff,4119,269.421,83.161,63.064,122.493,0.713,1050345,1050345,1.319,0.758,0.910
731,8 pat OD ki67 (561)_0006_C001T001_colony_3.tiff,2516,190.894,65.058,49.240,74.395,0.868,641580,641580,1.321,0.757,0.968
732,8 pat OD ki67 (561)_0006_C001T001_colony_4.tiff,4260,243.622,80.657,67.248,145.522,0.902,1086300,1086300,1.199,0.834,0.979
733,8 pat OD ki67 (561)_0006_C001T001_colony_5.tiff,3052,212.693,76.094,51.067,41.261,0.848,778260,778260,1.490,0.671,0.965
734,8 pat OD ki67 (561)_0006_C001T001_colony_6.tiff,2311,182.995,63.532,46.314,173.733,0.867,589305,589305,1.372,0.729,0.969
735,8 pat OD ki67 (561)_0006_C001T001_colony_7.tiff,2733,198.894,68.193,51.028,63.911,0.868,696915,696915,1.336,0.748,0.965
736,8 pat OD ki67 (561)_0006_C001T001_colony_8.tiff,2444,184.995,59.485,52.313,71.368,0.897,623220,623220,1.137,0.879,0.971
737,8 pat OD ki67 (561)_0006_C001T001_colony_9.tiff,3314,218.894,77.004,54.796,133.153,0.869,845070,845070,1.405,0.712,0.971
738,8 pat OD ki67 (561)_0007_C001T001_colony_1.tiff,102,36.870,11.983,10.838,144.701,0.943,26010,26010,1.106,0.904,0.895
739,8 pat OD ki67 (561)_0007_C001T001_colony_10.tiff,2555,193.238,67.866,47.935,167.353,0.860,651525,651525,1.416,0.706,0.969
740,8 pat OD ki67 (561)_0007_C001T001_colony_11.tiff,2263,180.752,63.048,45.701,127.897,0.870,577065,577065,1.380,0.725,0.969
741,8 pat OD ki67 (561)_0007_C001T001_colony_12.tiff,2154,174.510,58.392,46.968,81.659,0.889,549270,549270,1.243,0.804,0.970
