 ,Label,Area,Perim.,Circ.,IntDen,RawIntDen,AR,Round,Solidity,Major,Minor
706,1 pat p30 7 day ctrl 10x 4_colony_310.tiff,273,62.426,0.88,69615,69615,1.446,0.692,0.922,24.072,17.296
707,1 pat p30 7 day ctrl 10x 4_colony_311.tiff,231,55.941,0.928,58905,58905,1.349,0.741,0.939,20.438,15.699
708,1 pat p30 7 day ctrl 10x 4_colony_312.tiff,435,79.841,0.858,110925,110925,1.396,0.717,0.941,30.79,21.793
709,1 pat p30 7 day ctrl 10x 4_colony_313.tiff,285,62.426,0.919,72675,72675,1.196,0.836,0.936,21.407,18.2
710,1 pat p30 7 day ctrl 10x 4_colony_314.tiff,195,52.77,0.88,49725,49725,1.386,0.722,0.911,18.547,13.386
711,1 pat p30 7 day ctrl 10x 4_colony_315.tiff,261,62.184,0.848,66555,66555,1.664,0.601,0.932,23.515,14.132
712,1 pat p30 7 day ctrl 10x 4_colony_317.tiff,259,63.255,0.813,66045,66045,1.685,0.593,0.906,23.572,13.99
713,1 pat p30 7 day ctrl 10x 4_colony_318.tiff,238,58.184,0.883,60690,60690,1.248,0.801,0.924,19.446,15.583
714,1 pat p30 7 day ctrl 10x 4_colony_319.tiff,175,51.698,0.823,44625,44625,1.702,0.587,0.919,19.475,11.441
715,1 pat p30 7 day ctrl 10x 4_colony_320.tiff,253,59.355,0.902,64515,64515,1.231,0.813,0.93,24.192,19.579
716,1 pat p30 7 day ctrl 10x 4_colony_321.tiff,328,67.012,0.918,83640,83640,1.149,0.871,0.941,21.903,19.067
717,1 pat p30 7 day ctrl 10x 4_colony_322.tiff,265,59.941,0.927,67575,67575,1.3,0.769,0.945,20.943,16.111
718,1 pat p30 7 day ctrl 10x 4_colony_323.tiff,247,58.184,0.917,62985,62985,1.319,0.758,0.929,20.368,15.44
719,1 pat p30 7 day ctrl 10x 4_colony_324.tiff,586,91.154,0.886,149430,149430,1.381,0.724,0.949,32.102,23.242
720,1 pat p30 7 day ctrl 10x 4_colony_325.tiff,285,62.184,0.926,72675,72675,1.129,0.886,0.938,20.243,17.926
721,1 pat p30 7 day ctrl 10x 4_colony_326.tiff,234,55.941,0.94,59670,59670,1.174,0.852,0.938,18.699,15.933
722,1 pat p30 7 day ctrl 10x 4_colony_327.tiff,472,87.74,0.77,120360,120360,1.664,0.601,0.917,31.626,19.002
