 ,Label,Area,Perim.,Circ.,IntDen,RawIntDen,AR,Round,Solidity
331,7 pat OD ki67 (561)_0014_C001T001_colony_17.tiff,2854,203.037,0.870,727770,727770,1.317,0.759,0.970
332,7 pat OD ki67 (561)_0014_C001T001_colony_18.tiff,2338,184.167,0.866,596190,596190,1.366,0.732,0.970
333,7 pat OD ki67 (561)_0014_C001T001_colony_2.tiff,1415,143.640,0.862,360825,360825,1.537,0.651,0.969
334,7 pat OD ki67 (561)_0014_C001T001_colony_20.tiff,2126,173.238,0.890,542130,542130,1.160,0.862,0.964
335,7 pat OD ki67 (561)_0014_C001T001_colony_21.tiff,2057,170.024,0.894,524535,524535,1.235,0.810,0.971
336,7 pat OD ki67 (561)_0014_C001T001_colony_22.tiff,2591,190.309,0.899,660705,660705,1.217,0.822,0.973
337,7 pat OD ki67 (561)_0014_C001T001_colony_3.tiff,2732,197.723,0.878,696660,696660,1.388,0.720,0.971
338,7 pat OD ki67 (561)_0014_C001T001_colony_4.tiff,1769,159.439,0.874,451095,451095,1.279,0.782,0.965
339,7 pat OD ki67 (561)_0014_C001T001_colony_5.tiff,2557,188.510,0.904,652035,652035,1.219,0.820,0.975
340,7 pat OD ki67 (561)_0014_C001T001_colony_6.tiff,3596,228.551,0.865,916980,916980,1.504,0.665,0.977
341,7 pat OD ki67 (561)_0014_C001T001_colony_7.tiff,2426,183.581,0.905,618630,618630,1.203,0.831,0.973
342,7 pat OD ki67 (561)_0014_C001T001_colony_8.tiff,2732,196.894,0.886,696660,696660,1.267,0.789,0.971
343,7 pat OD ki67 (561)_0014_C001T001_colony_9.tiff,1974,166.167,0.898,503370,503370,1.113,0.898,0.967
344,7 pat OD ki67 (561)_0015_C001T001_colony_10.tiff,3092,209.480,0.885,788460,788460,1.150,0.870,0.971
345,7 pat OD ki67 (561)_0015_C001T001_colony_11.tiff,2220,175.681,0.904,566100,566100,1.167,0.857,0.973
346,7 pat OD ki67 (561)_0015_C001T001_colony_12.tiff,2691,195.238,0.887,686205,686205,1.189,0.841,0.974
347,7 pat OD ki67 (561)_0015_C001T001_colony_13.tiff,2141,172.510,0.904,545955,545955,1.202,0.832,0.972
348,7 pat OD ki67 (561)_0015_C001T001_colony_14.tiff,2972,204.309,0.895,757860,757860,1.126,0.888,0.972
349,7 pat OD ki67 (561)_0015_C001T001_colony_15.tiff,2298,178.995,0.901,585990,585990,1.192,0.839,0.973
350,7 pat OD ki67 (561)_0015_C001T001_colony_16.tiff,2718,202.936,0.829,693090,693090,1.314,0.761,0.951
351,7 pat OD ki67 (561)_0015_C001T001_colony_17.tiff,2056,168.610,0.909,524280,524280,1.193,0.838,0.975
352,7 pat OD ki67 (561)_0015_C001T001_colony_18.tiff,1859,165.095,0.857,474045,474045,1.468,0.681,0.970
353,7 pat OD ki67 (561)_0015_C001T001_colony_19.tiff,2538,189.338,0.890,647190,647190,1.344,0.744,0.975
354,7 pat OD ki67 (561)_0015_C001T001_colony_2.tiff,2658,194.752,0.881,677790,677790,1.285,0.778,0.971
355,7 pat OD ki67 (561)_0015_C001T001_colony_20.tiff,3655,233.037,0.846,932025,932025,1.553,0.644,0.974
356,7 pat OD ki67 (561)_0015_C001T001_colony_21.tiff,3162,209.480,0.905,806310,806310,1.195,0.837,0.977
357,7 pat OD ki67 (561)_0015_C001T001_colony_22.tiff,2014,169.924,0.877,513570,513570,1.293,0.774,0.966
358,7 pat OD ki67 (561)_0015_C001T001_colony_23.tiff,2132,176.267,0.862,543660,543660,1.405,0.712,0.970
359,7 pat OD ki67 (561)_0015_C001T001_colony_25.tiff,2572,192.066,0.876,655860,655860,1.290,0.775,0.970
