 ,Label,Area,Perim.,Circ.,IntDen,RawIntDen,AR,Round,Solidity,target
53,colony_962.tiff,1735,170.752,0.748,442425,442425,1.972,0.507,0.947,1
54,colony_963.tiff,1136,128.225,0.868,289680,289680,1.492,0.67,0.965,1
55,colony_964.tiff,2145,173.681,0.894,546975,546975,1.268,0.789,0.971,1
56,colony_965.tiff,2758,197.48,0.889,703290,703290,1.257,0.796,0.973,1
57,colony_966.tiff,1273,137.196,0.85,324615,324615,1.362,0.734,0.952,1
58,colony_967.tiff,1630,161.924,0.781,415650,415650,1.357,0.737,0.92,1
59,colony_968.tiff,1256,134.711,0.87,320280,320280,1.151,0.869,0.956,1
60,colony_969.tiff,1710,160.024,0.839,436050,436050,1.491,0.671,0.967,1
61,colony_97.tiff,2255,185.681,0.822,575025,575025,1.689,0.592,0.97,1
62,colony_970.tiff,2426,203.38,0.737,618630,618630,1.287,0.777,0.935,1
63,colony_971.tiff,1066,144.125,0.645,271830,271830,1.815,0.551,0.898,1
64,colony_972.tiff,1199,130.61,0.883,305745,305745,1.3,0.769,0.953,1
65,colony_973.tiff,2302,209.782,0.657,587010,587010,2.729,0.366,0.97,1
66,colony_974.tiff,1319,152.51,0.713,336345,336345,1.378,0.725,0.903,1
67,colony_975.tiff,893,112.811,0.882,227715,227715,1.411,0.709,0.962,1
68,colony_976.tiff,1462,164.167,0.682,372810,372810,1.563,0.64,0.828,1
69,colony_977.tiff,1264,142.368,0.784,322320,322320,1.598,0.626,0.929,1
70,colony_978.tiff,2277,237.037,0.509,580635,580635,1.441,0.694,0.871,1
71,colony_979.tiff,1467,173.924,0.609,374085,374085,1.559,0.642,0.834,1
72,colony_98.tiff,2463,188.167,0.874,628065,628065,1.329,0.752,0.972,1
73,colony_980.tiff,2222,181.238,0.85,566610,566610,1.385,0.722,0.964,1
74,colony_981.tiff,785,144.51,0.472,200175,200175,2.798,0.357,0.837,1
75,colony_982.tiff,1595,151.439,0.874,406725,406725,1.392,0.719,0.967,1
76,colony_983.tiff,1125,211.279,0.317,286875,286875,1.537,0.651,0.775,1
77,colony_984.tiff,1217,151.397,0.667,310335,310335,2.515,0.398,0.952,1
78,colony_985.tiff,1882,192.794,0.636,479910,479910,1.879,0.532,0.885,1
79,colony_986.tiff,2348,229.865,0.558,598740,598740,1.113,0.899,0.864,1
80,colony_987.tiff,1793,184.51,0.662,457215,457215,1.371,0.729,0.742,1
81,colony_988.tiff,2417,200.551,0.755,616335,616335,1.551,0.645,0.908,1
82,colony_989.tiff,1133,191.865,0.387,288915,288915,2.142,0.467,0.836,1
83,colony_99.tiff,2923,207.723,0.851,745365,745365,1.384,0.723,0.962,1
84,colony_990.tiff,2557,245.078,0.535,652035,652035,1.776,0.563,0.899,1
85,colony_991.tiff,2067,171.581,0.882,527085,527085,1.161,0.861,0.965,1
86,colony_992.tiff,1477,143.782,0.898,376635,376635,1.26,0.794,0.967,1
87,colony_993.tiff,1545,173.48,0.645,393975,393975,2.099,0.477,0.9,1
88,colony_994.tiff,1520,161.782,0.73,387600,387600,1.45,0.69,0.827,1
89,colony_995.tiff,1491,156.267,0.767,380205,380205,1.787,0.56,0.937,1
93,colony_999.tiff,1492,146.61,0.872,380460,380460,1.243,0.804,0.943,1
