 ,Label,Area,Perim.,Circ.,IntDen,RawIntDen,AR,Round,Solidity,Major,Minor
131,7 pat p30 7 day ctrl 10x 1_colony_223.tiff,257,58.77,0.935,65535,65535,1.25,0.8,0.938,21.067,16.801
132,7 pat p30 7 day ctrl 10x 1_colony_224.tiff,242,56.527,0.952,61710,61710,1.17,0.855,0.943,19.961,17.159
133,7 pat p30 7 day ctrl 10x 1_colony_225.tiff,168,47.698,0.928,42840,42840,1.321,0.757,0.926,17.724,13.864
134,7 pat p30 7 day ctrl 10x 1_colony_23.tiff,197,51.113,0.948,50235,50235,1.259,0.794,0.938,17.771,14.115
135,7 pat p30 7 day ctrl 10x 1_colony_24.tiff,217,55.355,0.89,55335,55335,1.339,0.747,0.921,20.347,15.081
136,7 pat p30 7 day ctrl 10x 1_colony_25.tiff,181,49.113,0.943,46155,46155,1.153,0.867,0.931,16.979,15.298
137,7 pat p30 7 day ctrl 10x 1_colony_26.tiff,208,53.113,0.927,53040,53040,1.258,0.795,0.939,18.255,14.508
138,7 pat p30 7 day ctrl 10x 1_colony_27.tiff,236,55.941,0.948,60180,60180,1.187,0.843,0.942,20.023,17.296
139,7 pat p30 7 day ctrl 10x 1_colony_28.tiff,197,51.113,0.948,50235,50235,1.2,0.833,0.936,18.581,15.418
140,7 pat p30 7 day ctrl 10x 1_colony_29.tiff,173,47.941,0.946,44115,44115,1.23,0.813,0.923,17.8,14.163
141,7 pat p30 7 day ctrl 10x 1_colony_3.tiff,189,50.527,0.93,48195,48195,1.153,0.867,0.924,17.552,15.089
142,7 pat p30 7 day ctrl 10x 1_colony_30.tiff,282,61.355,0.941,71910,71910,1.271,0.787,0.948,21.36,16.81
143,7 pat p30 7 day ctrl 10x 1_colony_31.tiff,233,55.355,0.956,59415,59415,1.154,0.866,0.94,19.424,17.043
144,7 pat p30 7 day ctrl 10x 1_colony_32.tiff,214,54.527,0.904,54570,54570,1.568,0.638,0.941,21.489,14.22
145,7 pat p30 7 day ctrl 10x 1_colony_33.tiff,198,51.698,0.931,50490,50490,1.292,0.774,0.936,19.755,14.824
146,7 pat p30 7 day ctrl 10x 1_colony_34.tiff,217,53.941,0.937,55335,55335,1.122,0.891,0.933,17.608,15.692
147,7 pat p30 7 day ctrl 10x 1_colony_35.tiff,211,53.113,0.94,53805,53805,1.293,0.773,0.94,19.196,15.056
148,7 pat p30 7 day ctrl 10x 1_colony_36.tiff,285,62.184,0.926,72675,72675,1.279,0.782,0.944,21.547,16.841
