 ,Label,Area,Perim.,Circ.,IntDen,RawIntDen,AR,Round,Solidity,Major,Minor
173,1 pat p17 7 day od 10x 4_colony_192.tiff,228,57.012,0.881,58140,58140,1.392,0.718,0.921,20.103,14.44
174,1 pat p17 7 day od 10x 4_colony_193.tiff,172,49.113,0.896,43860,43860,1.236,0.809,0.917,18.756,15.002
175,1 pat p17 7 day od 10x 4_colony_194.tiff,328,70.77,0.823,83640,83640,1.583,0.632,0.941,25.708,16.245
176,1 pat p17 7 day od 10x 4_colony_195.tiff,232,57.941,0.868,59160,59160,1.432,0.698,0.93,20.567,14.363
177,1 pat p17 7 day od 10x 4_colony_196.tiff,230,59.598,0.814,58650,58650,1.763,0.567,0.913,25.699,14.318
178,1 pat p17 7 day od 10x 4_colony_197.tiff,179,51.598,0.845,45645,45645,1.658,0.603,0.886,19.439,11.725
179,1 pat p17 7 day od 10x 4_colony_198.tiff,233,60.77,0.793,59415,59415,1.64,0.61,0.889,22.059,13.449
180,1 pat p17 7 day od 10x 4_colony_199.tiff,210,55.012,0.872,53550,53550,1.403,0.713,0.911,19.368,13.805
181,1 pat p17 7 day od 10x 4_colony_200.tiff,258,59.355,0.92,65790,65790,1.359,0.736,0.943,22.563,17.042
182,1 pat p17 7 day od 10x 4_colony_201.tiff,281,64.426,0.851,71655,71655,1.409,0.71,0.926,22.454,15.934
183,1 pat p17 7 day od 10x 4_colony_202.tiff,285,63.598,0.885,72675,72675,1.419,0.705,0.938,24.842,17.734
