 ,Label,Area,Perim.,Major,Minor,Angle,Circ.,IntDen,RawIntDen,AR,Round,Solidity
103,1 pat p30 7 day ctrl 10x 2_colony_131.tiff,244,60.426,23.216,13.382,156.573,0.840,62220,62220,1.735,0.576,0.922
104,1 pat p30 7 day ctrl 10x 2_colony_132.tiff,293,65.255,23.247,16.048,56.464,0.865,74715,74715,1.449,0.690,0.932
105,1 pat p30 7 day ctrl 10x 2_colony_133.tiff,580,91.740,30.692,24.061,165.246,0.866,147900,147900,1.276,0.784,0.942
106,1 pat p30 7 day ctrl 10x 2_colony_134.tiff,205,53.941,18.335,14.236,114.654,0.885,52275,52275,1.288,0.776,0.915
107,1 pat p30 7 day ctrl 10x 2_colony_135.tiff,263,61.841,21.236,15.769,144.637,0.864,67065,67065,1.347,0.743,0.915
108,1 pat p30 7 day ctrl 10x 2_colony_136.tiff,318,68.669,25.128,16.113,29.724,0.847,81090,81090,1.560,0.641,0.927
109,1 pat p30 7 day ctrl 10x 2_colony_137.tiff,253,58.527,18.581,17.336,95.792,0.928,64515,64515,1.072,0.933,0.937
110,1 pat p30 7 day ctrl 10x 2_colony_138.tiff,294,67.841,25.326,14.781,32.802,0.803,74970,74970,1.713,0.584,0.922
111,1 pat p30 7 day ctrl 10x 2_colony_139.tiff,341,68.083,23.469,18.500,145.048,0.924,86955,86955,1.269,0.788,0.942
112,1 pat p30 7 day ctrl 10x 2_colony_140.tiff,326,66.770,21.324,19.466,130.948,0.919,83130,83130,1.095,0.913,0.939
113,1 pat p30 7 day ctrl 10x 2_colony_141.tiff,181,51.113,19.311,11.934,19.708,0.871,46155,46155,1.618,0.618,0.928
114,1 pat p30 7 day ctrl 10x 2_colony_142.tiff,324,67.598,22.687,18.183,124.038,0.891,82620,82620,1.248,0.801,0.938
115,1 pat p30 7 day ctrl 10x 2_colony_143.tiff,358,70.669,25.217,18.076,147.713,0.901,91290,91290,1.395,0.717,0.941
116,1 pat p30 7 day ctrl 10x 2_colony_144.tiff,267,62.184,22.460,15.136,176.964,0.868,68085,68085,1.484,0.674,0.930
117,1 pat p30 7 day ctrl 10x 2_colony_145.tiff,349,69.841,24.495,18.141,148.362,0.899,88995,88995,1.350,0.741,0.939
118,1 pat p30 7 day ctrl 10x 2_colony_146.tiff,300,66.426,24.428,15.636,30.222,0.854,76500,76500,1.562,0.640,0.927
119,1 pat p30 7 day ctrl 10x 2_colony_147.tiff,325,67.841,24.384,16.970,121.673,0.887,82875,82875,1.437,0.696,0.935
120,1 pat p30 7 day ctrl 10x 2_colony_148.tiff,230,57.841,20.612,14.208,136.729,0.864,58650,58650,1.451,0.689,0.920
121,1 pat p30 7 day ctrl 10x 2_colony_149.tiff,243,59.841,22.303,13.873,151.840,0.853,61965,61965,1.608,0.622,0.922
122,1 pat p30 7 day ctrl 10x 2_colony_150.tiff,292,65.598,24.122,15.412,12.149,0.853,74460,74460,1.565,0.639,0.921
123,1 pat p30 7 day ctrl 10x 2_colony_151.tiff,221,55.698,20.534,13.704,0.498,0.895,56355,56355,1.498,0.667,0.934
124,1 pat p30 7 day ctrl 10x 2_colony_152.tiff,267,61.355,22.129,15.363,26.437,0.891,68085,68085,1.440,0.694,0.940
125,1 pat p30 7 day ctrl 10x 2_colony_153.tiff,284,64.184,22.067,16.386,31.982,0.866,72420,72420,1.347,0.743,0.919
126,1 pat p30 7 day ctrl 10x 2_colony_154.tiff,252,61.355,23.260,13.794,13.959,0.841,64260,64260,1.686,0.593,0.930
127,1 pat p30 7 day ctrl 10x 2_colony_155.tiff,377,71.841,24.468,19.618,11.755,0.918,96135,96135,1.247,0.802,0.945
128,1 pat p30 7 day ctrl 10x 2_colony_156.tiff,293,64.669,21.858,17.068,35.503,0.880,74715,74715,1.281,0.781,0.920
129,1 pat p30 7 day ctrl 10x 2_colony_157.tiff,257,61.012,22.920,14.277,53.368,0.868,65535,65535,1.605,0.623,0.933
130,1 pat p30 7 day ctrl 10x 2_colony_158.tiff,469,81.740,25.959,23.004,8.660,0.882,119595,119595,1.128,0.886,0.936
131,1 pat p30 7 day ctrl 10x 2_colony_159.tiff,432,81.497,30.275,18.168,157.252,0.817,110160,110160,1.666,0.600,0.935
132,1 pat p30 7 day ctrl 10x 2_colony_160.tiff,516,84.669,27.063,24.276,43.970,0.905,131580,131580,1.115,0.897,0.949
133,1 pat p30 7 day ctrl 10x 2_colony_161.tiff,264,62.184,20.714,16.228,85.613,0.858,67320,67320,1.276,0.783,0.923
134,1 pat p30 7 day ctrl 10x 2_colony_162.tiff,230,56.426,19.281,15.188,29.103,0.908,58650,58650,1.269,0.788,0.924
135,1 pat p30 7 day ctrl 10x 2_colony_163.tiff,914,113.640,38.822,29.976,130.924,0.889,233070,233070,1.295,0.772,0.959
136,1 pat p30 7 day ctrl 10x 2_colony_79.tiff,339,67.598,22.642,19.063,178.986,0.932,86445,86445,1.188,0.842,0.947
137,1 pat p30 7 day ctrl 10x 2_colony_80.tiff,279,62.770,21.917,16.208,108.017,0.890,71145,71145,1.352,0.739,0.938
138,1 pat p30 7 day ctrl 10x 2_colony_81.tiff,294,63.841,21.642,17.296,46.789,0.906,74970,74970,1.251,0.799,0.933
139,1 pat p30 7 day ctrl 10x 2_colony_82.tiff,278,62.184,20.789,17.026,58.964,0.903,70890,70890,1.221,0.819,0.938
140,1 pat p30 7 day ctrl 10x 2_colony_83.tiff,246,59.841,20.796,15.061,79.154,0.863,62730,62730,1.381,0.724,0.921
141,1 pat p30 7 day ctrl 10x 2_colony_84.tiff,310,67.841,25.428,15.522,150.965,0.846,79050,79050,1.638,0.610,0.927
142,1 pat p30 7 day ctrl 10x 2_colony_87.tiff,350,69.012,22.443,19.857,58.651,0.923,89250,89250,1.130,0.885,0.946
143,1 pat p30 7 day ctrl 10x 2_colony_90.tiff,273,62.426,22.546,15.417,44.214,0.880,69615,69615,1.462,0.684,0.927
144,1 pat p30 7 day ctrl 10x 2_colony_92.tiff,459,85.255,26.987,21.655,82.090,0.794,117045,117045,1.246,0.802,0.884
145,1 pat p30 7 day ctrl 10x 2_colony_93.tiff,272,61.255,20.925,16.551,138.118,0.911,69360,69360,1.264,0.791,0.928
146,1 pat p30 7 day ctrl 10x 2_colony_94.tiff,355,71.255,25.341,17.837,170.299,0.879,90525,90525,1.421,0.704,0.933
147,1 pat p30 7 day ctrl 10x 2_colony_95.tiff,284,61.012,20.020,18.062,152.967,0.959,72420,72420,1.108,0.902,0.944
