 ,Label,Area,Perim.,Major,Minor,Angle,Circ.,IntDen,RawIntDen,AR,Round,Solidity
111,1 pat p17 7 day od 10x 3_colony_76.tiff,488,89.255,33.487,18.555,106.224,0.770,124440,124440,1.805,0.554,0.919
112,1 pat p17 7 day od 10x 3_colony_77.tiff,339,70.669,26.510,16.281,126.610,0.853,86445,86445,1.628,0.614,0.933
113,1 pat p17 7 day od 10x 3_colony_78.tiff,327,67.598,23.005,18.098,141.757,0.899,83385,83385,1.271,0.787,0.936
114,1 pat p17 7 day od 10x 3_colony_80.tiff,337,67.598,24.740,17.344,91.482,0.927,85935,85935,1.426,0.701,0.955
115,1 pat p17 7 day od 10x 3_colony_83.tiff,354,70.669,25.749,17.505,154.589,0.891,90270,90270,1.471,0.680,0.940
116,1 pat p17 7 day od 10x 3_colony_84.tiff,401,75.255,27.547,18.534,30.148,0.890,102255,102255,1.486,0.673,0.950
117,1 pat p17 7 day od 10x 3_colony_85.tiff,279,64.770,24.606,14.437,5.870,0.836,71145,71145,1.704,0.587,0.928
118,1 pat p17 7 day od 10x 3_colony_86.tiff,324,69.012,25.799,15.990,39.598,0.855,82620,82620,1.613,0.620,0.928
119,1 pat p17 7 day od 10x 3_colony_87.tiff,363,71.598,24.197,19.101,54.250,0.890,92565,92565,1.267,0.789,0.943
120,1 pat p17 7 day od 10x 3_colony_88.tiff,476,83.397,29.794,20.341,128.090,0.860,121380,121380,1.465,0.683,0.939
121,1 pat p17 7 day od 10x 3_colony_89.tiff,447,87.054,31.811,17.891,139.918,0.741,113985,113985,1.778,0.562,0.888
122,1 pat p17 7 day od 10x 3_colony_90.tiff,1203,133.539,47.053,32.553,164.437,0.848,306765,306765,1.445,0.692,0.956
123,1 pat p17 7 day od 10x 3_colony_91.tiff,311,66.184,21.880,18.097,83.002,0.892,79305,79305,1.209,0.827,0.940
124,1 pat p17 7 day od 10x 3_colony_92.tiff,332,71.841,27.692,15.265,125.759,0.808,84660,84660,1.814,0.551,0.943
125,1 pat p17 7 day od 10x 3_colony_93.tiff,469,86.225,29.847,20.007,30.932,0.793,119595,119595,1.492,0.670,0.921
126,1 pat p17 7 day od 10x 3_colony_94.tiff,369,75.154,29.496,15.928,131.263,0.821,94095,94095,1.852,0.540,0.934
127,1 pat p17 7 day od 10x 3_colony_95.tiff,405,83.598,33.734,15.286,3.722,0.728,103275,103275,2.207,0.453,0.932
128,1 pat p17 7 day od 10x 3_colony_96.tiff,283,62.770,21.602,16.680,179.392,0.903,72165,72165,1.295,0.772,0.943
129,1 pat p17 7 day od 10x 3_colony_97.tiff,326,67.255,21.314,19.474,9.465,0.906,83130,83130,1.095,0.914,0.933
130,1 pat p17 7 day od 10x 3_colony_98.tiff,316,68.669,24.155,16.657,178.314,0.842,80580,80580,1.450,0.690,0.917
131,1 pat p17 7 day od 10x 3_colony_99.tiff,326,68.184,24.965,16.627,99.770,0.881,83130,83130,1.502,0.666,0.945
132,1 pat p17 7 day od 10x 4_colony_147.tiff,266,60.426,20.194,16.771,60.099,0.915,67830,67830,1.204,0.831,0.937
133,1 pat p17 7 day od 10x 4_colony_151.tiff,348,68.669,23.143,19.146,143.676,0.927,88740,88740,1.209,0.827,0.941
134,1 pat p17 7 day od 10x 4_colony_152.tiff,321,69.012,24.479,16.696,51.290,0.847,81855,81855,1.466,0.682,0.918
135,1 pat p17 7 day od 10x 4_colony_153.tiff,392,76.326,27.564,18.107,118.109,0.846,99960,99960,1.522,0.657,0.926
136,1 pat p17 7 day od 10x 4_colony_154.tiff,236,56.770,19.144,15.696,97.568,0.920,60180,60180,1.220,0.820,0.938
137,1 pat p17 7 day od 10x 4_colony_155.tiff,230,56.770,19.691,14.872,115.731,0.897,58650,58650,1.324,0.755,0.927
138,1 pat p17 7 day od 10x 4_colony_156.tiff,329,68.912,24.736,16.935,143.336,0.871,83895,83895,1.461,0.685,0.927
139,1 pat p17 7 day od 10x 4_colony_157.tiff,316,69.841,25.791,15.600,114.208,0.814,80580,80580,1.653,0.605,0.925
140,1 pat p17 7 day od 10x 4_colony_158.tiff,379,74.669,26.159,18.447,79.696,0.854,96645,96645,1.418,0.705,0.935
141,1 pat p17 7 day od 10x 4_colony_159.tiff,290,65.255,24.174,15.274,61.408,0.856,73950,73950,1.583,0.632,0.924
142,1 pat p17 7 day od 10x 4_colony_160.tiff,261,61.941,23.553,14.109,24.346,0.855,66555,66555,1.669,0.599,0.942
143,1 pat p17 7 day od 10x 4_colony_161.tiff,549,91.740,34.148,20.470,122.967,0.820,139995,139995,1.668,0.599,0.937
144,1 pat p17 7 day od 10x 4_colony_162.tiff,569,92.225,31.547,22.965,48.913,0.841,145095,145095,1.374,0.728,0.937
145,1 pat p17 7 day od 10x 4_colony_163.tiff,267,64.770,21.917,15.511,152.673,0.800,68085,68085,1.413,0.708,0.881
146,1 pat p17 7 day od 10x 4_colony_164.tiff,525,100.468,41.215,16.219,148.891,0.654,133875,133875,2.541,0.394,0.882
147,1 pat p17 7 day od 10x 4_colony_165.tiff,361,77.598,29.658,15.498,171.223,0.753,92055,92055,1.914,0.523,0.919
148,1 pat p17 7 day od 10x 4_colony_166.tiff,242,58.426,21.475,14.348,145.050,0.891,61710,61710,1.497,0.668,0.927
149,1 pat p17 7 day od 10x 4_colony_167.tiff,526,105.213,42.696,15.686,98.251,0.597,134130,134130,2.722,0.367,0.897
150,1 pat p17 7 day od 10x 4_colony_168.tiff,93,35.213,12.857,9.210,85.992,0.943,23715,23715,1.396,0.716,0.930
151,1 pat p17 7 day od 10x 4_colony_169.tiff,189,51.113,18.170,13.244,21.153,0.909,48195,48195,1.372,0.729,0.929
152,1 pat p17 7 day od 10x 4_colony_170.tiff,431,78.326,26.538,20.678,113.054,0.883,109905,109905,1.283,0.779,0.938
153,1 pat p17 7 day od 10x 4_colony_171.tiff,248,61.598,22.002,14.352,3.490,0.821,63240,63240,1.533,0.652,0.902
154,1 pat p17 7 day od 10x 4_colony_172.tiff,279,63.012,23.450,15.148,28.111,0.883,71145,71145,1.548,0.646,0.944
155,1 pat p17 7 day od 10x 4_colony_173.tiff,327,71.012,27.718,15.021,17.845,0.815,83385,83385,1.845,0.542,0.940
156,1 pat p17 7 day od 10x 4_colony_174.tiff,256,62.184,20.357,16.012,137.260,0.832,65280,65280,1.271,0.787,0.880
157,1 pat p17 7 day od 10x 4_colony_175.tiff,306,72.669,30.863,12.624,137.767,0.728,78030,78030,2.445,0.409,0.924
158,1 pat p17 7 day od 10x 4_colony_176.tiff,221,56.527,20.782,13.540,87.853,0.869,56355,56355,1.535,0.652,0.927
159,1 pat p17 7 day od 10x 4_colony_177.tiff,401,76.426,28.307,18.037,139.940,0.863,102255,102255,1.569,0.637,0.942
160,1 pat p17 7 day od 10x 4_colony_178.tiff,458,80.669,27.179,21.455,19.488,0.884,116790,116790,1.267,0.789,0.941
161,1 pat p17 7 day od 10x 4_colony_179.tiff,567,88.569,29.403,24.553,61.974,0.908,144585,144585,1.198,0.835,0.949
162,1 pat p17 7 day od 10x 4_colony_180.tiff,264,62.770,23.374,14.381,121.394,0.842,67320,67320,1.625,0.615,0.920
163,1 pat p17 7 day od 10x 4_colony_181.tiff,153,45.113,16.018,12.162,128.228,0.945,39015,39015,1.317,0.759,0.924
164,1 pat p17 7 day od 10x 4_colony_182.tiff,246,62.770,23.389,13.392,103.701,0.785,62730,62730,1.746,0.573,0.909
165,1 pat p17 7 day od 10x 4_colony_183.tiff,454,80.426,29.133,19.842,27.353,0.882,115770,115770,1.468,0.681,0.948
166,1 pat p17 7 day od 10x 4_colony_184.tiff,234,56.770,19.462,15.308,61.772,0.912,59670,59670,1.271,0.787,0.932
167,1 pat p17 7 day od 10x 4_colony_185.tiff,305,65.841,22.673,17.128,32.360,0.884,77775,77775,1.324,0.755,0.927
168,1 pat p17 7 day od 10x 4_colony_186.tiff,246,59.255,21.224,14.758,130.366,0.880,62730,62730,1.438,0.695,0.923
169,1 pat p17 7 day od 10x 4_colony_187.tiff,261,64.184,23.980,13.858,78.745,0.796,66555,66555,1.730,0.578,0.909
170,1 pat p17 7 day od 10x 4_colony_188.tiff,231,56.527,18.611,15.803,120.040,0.908,58905,58905,1.178,0.849,0.935
171,1 pat p17 7 day od 10x 4_colony_189.tiff,207,53.598,18.313,14.392,153.640,0.905,52785,52785,1.272,0.786,0.922
172,1 pat p17 7 day od 10x 4_colony_190.tiff,202,62.184,23.369,11.006,4.429,0.656,51510,51510,2.123,0.471,0.833
173,1 pat p17 7 day od 10x 4_colony_191.tiff,257,59.012,19.430,16.841,158.975,0.927,65535,65535,1.154,0.867,0.929
174,1 pat p17 7 day od 10x 4_colony_192.tiff,228,57.012,20.103,14.440,19.251,0.881,58140,58140,1.392,0.718,0.921
175,1 pat p17 7 day od 10x 4_colony_193.tiff,221,55.355,18.756,15.002,104.519,0.906,56355,56355,1.250,0.800,0.921
176,1 pat p17 7 day od 10x 4_colony_194.tiff,328,70.770,25.708,16.245,82.015,0.823,83640,83640,1.583,0.632,0.941
177,1 pat p17 7 day od 10x 4_colony_195.tiff,232,57.941,20.567,14.363,56.899,0.868,59160,59160,1.432,0.698,0.930
178,1 pat p17 7 day od 10x 4_colony_196.tiff,289,67.012,25.699,14.318,22.730,0.809,73695,73695,1.795,0.557,0.925
179,1 pat p17 7 day od 10x 4_colony_197.tiff,179,51.598,19.439,11.725,133.796,0.845,45645,45645,1.658,0.603,0.886
180,1 pat p17 7 day od 10x 4_colony_198.tiff,233,60.770,22.059,13.449,117.348,0.793,59415,59415,1.640,0.610,0.889
181,1 pat p17 7 day od 10x 4_colony_199.tiff,210,55.012,19.368,13.805,143.549,0.872,53550,53550,1.403,0.713,0.911
182,1 pat p17 7 day od 10x 4_colony_200.tiff,302,65.012,22.563,17.042,172.142,0.898,77010,77010,1.324,0.755,0.936
183,1 pat p17 7 day od 10x 4_colony_201.tiff,281,64.426,22.454,15.934,106.078,0.851,71655,71655,1.409,0.710,0.926
184,1 pat p17 7 day od 10x 4_colony_202.tiff,346,71.497,24.842,17.734,71.997,0.851,88230,88230,1.401,0.714,0.925
185,1 pat p17 7 day od 10x 4_colony_203.tiff,473,80.426,27.249,22.101,60.940,0.919,120615,120615,1.233,0.811,0.956
186,1 pat p17 7 day od 10x 4_colony_204.tiff,276,61.841,21.180,16.591,32.902,0.907,70380,70380,1.277,0.783,0.928
187,1 pat p17 7 day od 10x 4_colony_205.tiff,258,61.841,23.565,13.940,59.746,0.848,65790,65790,1.690,0.592,0.933
188,1 pat p17 7 day od 10x 4_colony_206.tiff,229,59.598,21.417,13.614,107.461,0.810,58395,58395,1.573,0.636,0.900
189,1 pat p17 7 day od 10x 4_colony_207.tiff,352,69.598,23.823,18.813,103.957,0.913,89760,89760,1.266,0.790,0.948
190,1 pat p17 7 day od 10x 4_colony_208.tiff,276,61.598,21.803,16.117,44.776,0.914,70380,70380,1.353,0.739,0.939
191,1 pat p17 7 day od 10x 4_colony_209.tiff,239,58.184,20.336,14.964,47.452,0.887,60945,60945,1.359,0.736,0.926
192,1 pat p17 7 day od 10x 5_colony_210.tiff,203,57.113,23.018,11.229,174.711,0.782,51765,51765,2.050,0.488,0.916
193,1 pat p17 7 day od 10x 5_colony_211.tiff,628,94.569,34.047,23.485,12.759,0.882,160140,160140,1.450,0.690,0.949
194,1 pat p17 7 day od 10x 5_colony_213.tiff,632,95.497,33.795,23.811,68.789,0.871,161160,161160,1.419,0.705,0.953
195,1 pat p17 7 day od 10x 5_colony_217.tiff,388,74.669,24.983,19.774,166.076,0.875,98940,98940,1.263,0.791,0.936
