 ,Label,Area,Perim.,Major,Minor,Angle,Circ.,IntDen,RawIntDen,AR,Round,Solidity
410,8 pat ctrl KI67 (561) 40X_0008_C001T001_colony_19.tiff,2390,186.995,63.468,47.946,104.626,0.859,609450,609450,1.324,0.755,0.967
411,8 pat ctrl KI67 (561) 40X_0008_C001T001_colony_2.tiff,2113,172.853,59.414,45.281,169.359,0.889,538815,538815,1.312,0.762,0.972
412,8 pat ctrl KI67 (561) 40X_0008_C001T001_colony_20.tiff,2305,180.167,61.572,47.665,112.189,0.892,587775,587775,1.292,0.774,0.974
413,8 pat ctrl KI67 (561) 40X_0008_C001T001_colony_21.tiff,2103,175.095,62.236,43.024,81.902,0.862,536265,536265,1.447,0.691,0.968
414,8 pat ctrl KI67 (561) 40X_0008_C001T001_colony_3.tiff,1953,165.196,56.867,43.727,92.227,0.899,498015,498015,1.300,0.769,0.975
415,8 pat ctrl KI67 (561) 40X_0008_C001T001_colony_4.tiff,2042,170.510,59.360,43.800,109.845,0.883,520710,520710,1.355,0.738,0.971
416,8 pat ctrl KI67 (561) 40X_0008_C001T001_colony_5.tiff,1804,159.439,53.925,42.595,86.691,0.892,460020,460020,1.266,0.790,0.970
417,8 pat ctrl KI67 (561) 40X_0008_C001T001_colony_7.tiff,1967,169.238,59.064,42.402,149.078,0.863,501585,501585,1.393,0.718,0.965
418,8 pat ctrl KI67 (561) 40X_0008_C001T001_colony_8.tiff,3207,218.409,79.510,51.355,173.914,0.845,817785,817785,1.548,0.646,0.971
419,8 pat ctrl KI67 (561) 40X_0008_C001T001_colony_9.tiff,1769,157.681,52.587,42.831,127.277,0.894,451095,451095,1.228,0.814,0.967
420,8 pat ctrl KI67 (561) 40X_0009_C001T001_colony_1.tiff,1939,164.853,50.836,48.564,84.921,0.897,494445,494445,1.047,0.955,0.967
421,8 pat ctrl KI67 (561) 40X_0009_C001T001_colony_10.tiff,1989,166.510,53.043,47.744,15.725,0.902,507195,507195,1.111,0.900,0.970
422,8 pat ctrl KI67 (561) 40X_0009_C001T001_colony_11.tiff,1479,145.681,52.603,35.799,43.479,0.876,377145,377145,1.469,0.681,0.966
423,8 pat ctrl KI67 (561) 40X_0009_C001T001_colony_12.tiff,3165,210.652,68.647,58.703,82.565,0.896,807075,807075,1.169,0.855,0.974
424,8 pat ctrl KI67 (561) 40X_0009_C001T001_colony_13.tiff,1552,150.853,54.268,36.413,33.571,0.857,395760,395760,1.490,0.671,0.965
425,8 pat ctrl KI67 (561) 40X_0009_C001T001_colony_14.tiff,1755,157.439,55.134,40.529,23.536,0.890,447525,447525,1.360,0.735,0.972
426,8 pat ctrl KI67 (561) 40X_0009_C001T001_colony_15.tiff,2162,173.924,56.172,49.005,71.739,0.898,551310,551310,1.146,0.872,0.971
427,8 pat ctrl KI67 (561) 40X_0009_C001T001_colony_16.tiff,1866,162.752,55.222,43.024,35.980,0.885,475830,475830,1.284,0.779,0.966
428,8 pat ctrl KI67 (561) 40X_0009_C001T001_colony_2.tiff,1822,160.610,54.060,42.912,159.380,0.888,464610,464610,1.260,0.794,0.967
429,8 pat ctrl KI67 (561) 40X_0009_C001T001_colony_3.tiff,1960,166.267,56.014,44.552,13.481,0.891,499800,499800,1.257,0.795,0.969
