 ,Label,Area,Perim.,Circ.,IntDen,RawIntDen,AR,Round,Solidity
103,7 pat ctrl KI67 (561)_0006_C001T001_colony_18.tiff,1504,147.196,0.872,383520,383520,1.404,0.712,0.964
104,7 pat ctrl KI67 (561)_0006_C001T001_colony_19.tiff,1740,156.267,0.895,443700,443700,1.052,0.951,0.964
105,7 pat ctrl KI67 (561)_0006_C001T001_colony_20.tiff,1534,150.368,0.853,391170,391170,1.215,0.823,0.955
106,7 pat ctrl KI67 (561)_0006_C001T001_colony_21.tiff,1709,155.338,0.890,435795,435795,1.285,0.778,0.967
107,7 pat ctrl KI67 (561)_0006_C001T001_colony_22.tiff,1706,156.853,0.871,435030,435030,1.290,0.775,0.964
108,7 pat ctrl KI67 (561)_0006_C001T001_colony_4.tiff,1671,153.681,0.889,426105,426105,1.167,0.857,0.965
109,7 pat ctrl KI67 (561)_0006_C001T001_colony_5.tiff,2353,183.338,0.880,600015,600015,1.203,0.831,0.968
110,7 pat ctrl KI67 (561)_0006_C001T001_colony_6.tiff,2253,182.853,0.847,574515,574515,1.503,0.665,0.965
111,7 pat ctrl KI67 (561)_0006_C001T001_colony_8.tiff,1435,140.024,0.920,365925,365925,1.122,0.891,0.969
112,7 pat ctrl KI67 (561)_0006_C001T001_colony_9.tiff,1883,165.924,0.859,480165,480165,1.400,0.714,0.966
113,7 pat ctrl KI67 (561)_0007_C001T001_colony_10.tiff,1982,182.551,0.747,505410,505410,2.053,0.487,0.957
114,7 pat ctrl KI67 (561)_0007_C001T001_colony_12.tiff,1503,148.024,0.862,383265,383265,1.379,0.725,0.964
115,7 pat ctrl KI67 (561)_0007_C001T001_colony_13.tiff,2173,173.924,0.903,554115,554115,1.218,0.821,0.971
116,7 pat ctrl KI67 (561)_0007_C001T001_colony_14.tiff,2109,174.853,0.867,537795,537795,1.276,0.784,0.966
117,7 pat ctrl KI67 (561)_0007_C001T001_colony_15.tiff,1670,153.196,0.894,425850,425850,1.344,0.744,0.971
118,7 pat ctrl KI67 (561)_0007_C001T001_colony_16.tiff,1786,169.338,0.783,455430,455430,1.733,0.577,0.952
119,7 pat ctrl KI67 (561)_0007_C001T001_colony_17.tiff,2270,181.581,0.865,578850,578850,1.332,0.751,0.964
120,7 pat ctrl KI67 (561)_0007_C001T001_colony_18.tiff,1656,151.439,0.907,422280,422280,1.270,0.787,0.972
121,7 pat ctrl KI67 (561)_0007_C001T001_colony_2.tiff,1500,149.095,0.848,382500,382500,1.385,0.722,0.952
122,7 pat ctrl KI67 (561)_0007_C001T001_colony_3.tiff,1841,162.510,0.876,469455,469455,1.314,0.761,0.965
123,7 pat ctrl KI67 (561)_0007_C001T001_colony_4.tiff,1655,153.439,0.883,422025,422025,1.342,0.745,0.967
124,7 pat ctrl KI67 (561)_0007_C001T001_colony_5.tiff,1611,149.539,0.905,410805,410805,1.256,0.796,0.974
125,7 pat ctrl KI67 (561)_0007_C001T001_colony_6.tiff,1622,151.782,0.885,413610,413610,1.189,0.841,0.961
126,7 pat ctrl KI67 (561)_0007_C001T001_colony_7.tiff,1838,161.681,0.884,468690,468690,1.302,0.768,0.968
127,7 pat ctrl KI67 (561)_0007_C001T001_colony_8.tiff,2294,185.581,0.837,584970,584970,1.537,0.650,0.967
128,7 pat ctrl KI67 (561)_0007_C001T001_colony_9.tiff,2344,181.681,0.892,597720,597720,1.103,0.907,0.971
129,7 pat ctrl KI67 (561)_0008_C001T001_colony_10.tiff,2053,173.095,0.861,523515,523515,1.364,0.733,0.966
130,7 pat ctrl KI67 (561)_0008_C001T001_colony_11.tiff,1921,166.167,0.874,489855,489855,1.382,0.723,0.967
131,7 pat ctrl KI67 (561)_0008_C001T001_colony_12.tiff,1848,163.338,0.870,471240,471240,1.469,0.681,0.970
132,7 pat ctrl KI67 (561)_0008_C001T001_colony_13.tiff,1811,163.581,0.850,461805,461805,1.557,0.642,0.965
133,7 pat ctrl KI67 (561)_0008_C001T001_colony_14.tiff,2230,179.095,0.874,568650,568650,1.332,0.751,0.970
134,7 pat ctrl KI67 (561)_0008_C001T001_colony_15.tiff,1752,158.267,0.879,446760,446760,1.386,0.721,0.967
135,7 pat ctrl KI67 (561)_0008_C001T001_colony_2.tiff,1781,160.368,0.870,454155,454155,1.402,0.713,0.968
136,7 pat ctrl KI67 (561)_0008_C001T001_colony_3.tiff,1219,137.397,0.811,310845,310845,1.730,0.578,0.960
137,7 pat ctrl KI67 (561)_0008_C001T001_colony_5.tiff,2532,195.966,0.829,645660,645660,1.567,0.638,0.965
138,7 pat ctrl KI67 (561)_0008_C001T001_colony_6.tiff,1598,150.267,0.889,407490,407490,1.378,0.726,0.969
139,7 pat ctrl KI67 (561)_0008_C001T001_colony_7.tiff,2001,166.267,0.910,510255,510255,1.175,0.851,0.973
140,7 pat ctrl KI67 (561)_0008_C001T001_colony_8.tiff,1708,153.681,0.909,435540,435540,1.187,0.842,0.970
141,7 pat ctrl KI67 (561)_C001T001_colony_11.tiff,1485,144.510,0.894,378675,378675,1.270,0.788,0.965
