 ,Label,Area,Perim.,Major,Minor,Angle,Circ.,IntDen,RawIntDen,AR,Round,Solidity
327,7 pat p30 7 day ctrl 10x 2_colony_341.tiff,301,64.426,21.939,17.469,28.237,0.911,76755,76755,1.256,0.796,0.935
328,7 pat p30 7 day ctrl 10x 2_colony_342.tiff,178,48.284,16.861,13.441,93.579,0.959,45390,45390,1.254,0.797,0.942
329,7 pat p30 7 day ctrl 10x 2_colony_343.tiff,218,53.941,18.205,15.247,25.067,0.942,55590,55590,1.194,0.838,0.934
330,7 pat p30 7 day ctrl 10x 2_colony_344.tiff,210,53.355,19.690,13.580,33.550,0.927,53550,53550,1.450,0.690,0.938
331,7 pat p30 7 day ctrl 10x 2_colony_345.tiff,414,76.083,25.970,20.298,158.927,0.899,105570,105570,1.279,0.782,0.941
332,7 pat p30 7 day ctrl 10x 2_colony_346.tiff,189,50.527,17.728,13.574,117.044,0.930,48195,48195,1.306,0.766,0.931
333,7 pat p30 7 day ctrl 10x 2_colony_347.tiff,186,49.355,16.487,14.364,156.670,0.960,47430,47430,1.148,0.871,0.930
334,7 pat p30 7 day ctrl 10x 2_colony_348.tiff,201,51.941,17.623,14.522,67.320,0.936,51255,51255,1.214,0.824,0.928
335,7 pat p30 7 day ctrl 10x 2_colony_349.tiff,315,68.326,24.372,16.456,131.823,0.848,80325,80325,1.481,0.675,0.920
336,7 pat p30 7 day ctrl 10x 2_colony_352.tiff,199,51.113,16.923,14.972,109.663,0.957,50745,50745,1.130,0.885,0.934
337,7 pat p30 7 day ctrl 10x 2_colony_353.tiff,238,56.527,19.641,15.428,51.634,0.936,60690,60690,1.273,0.786,0.950
338,7 pat p30 7 day ctrl 10x 2_colony_354.tiff,221,54.770,18.451,15.250,110.083,0.926,56355,56355,1.210,0.826,0.927
339,7 pat p30 7 day ctrl 10x 2_colony_355.tiff,208,52.770,18.236,14.522,34.503,0.939,53040,53040,1.256,0.796,0.929
340,7 pat p30 7 day ctrl 10x 2_colony_356.tiff,215,54.184,17.681,15.483,82.857,0.920,54825,54825,1.142,0.876,0.923
341,7 pat p30 7 day ctrl 10x 2_colony_357.tiff,183,49.698,16.482,14.136,14.590,0.931,46665,46665,1.166,0.858,0.938
342,7 pat p30 7 day ctrl 10x 2_colony_358.tiff,230,54.527,18.081,16.197,86.577,0.972,58650,58650,1.116,0.896,0.948
343,7 pat p30 7 day ctrl 10x 2_colony_359.tiff,172,47.698,16.636,13.164,90.928,0.950,43860,43860,1.264,0.791,0.932
344,7 pat p30 7 day ctrl 10x 2_colony_361.tiff,212,52.770,18.375,14.690,139.255,0.957,54060,54060,1.251,0.799,0.938
345,7 pat p30 7 day ctrl 10x 2_colony_362.tiff,233,59.841,20.326,14.595,88.024,0.818,59415,59415,1.393,0.718,0.898
346,7 pat p30 7 day ctrl 10x 2_colony_363.tiff,245,57.941,20.370,15.314,126.203,0.917,62475,62475,1.330,0.752,0.940
347,7 pat p30 7 day ctrl 10x 2_colony_364.tiff,174,49.355,17.149,12.919,44.157,0.898,44370,44370,1.327,0.753,0.911
348,7 pat p30 7 day ctrl 10x 2_colony_365.tiff,235,55.941,19.039,15.716,83.012,0.944,59925,59925,1.211,0.825,0.942
349,7 pat p30 7 day ctrl 10x 2_colony_366.tiff,233,56.770,20.178,14.702,57.334,0.909,59415,59415,1.372,0.729,0.932
350,7 pat p30 7 day ctrl 10x 2_colony_367.tiff,407,74.669,25.244,20.528,138.539,0.917,103785,103785,1.230,0.813,0.943
351,7 pat p30 7 day ctrl 10x 2_colony_368.tiff,170,46.870,15.355,14.097,68.270,0.972,43350,43350,1.089,0.918,0.947
352,7 pat p30 7 day ctrl 10x 2_colony_369.tiff,160,45.456,15.194,13.408,96.844,0.973,40800,40800,1.133,0.882,0.941
353,7 pat p30 7 day ctrl 10x 2_colony_370.tiff,204,52.426,18.161,14.302,52.257,0.933,52020,52020,1.270,0.787,0.925
354,7 pat p30 7 day ctrl 10x 2_colony_371.tiff,243,58.426,20.008,15.464,35.527,0.895,61965,61965,1.294,0.773,0.917
355,7 pat p30 7 day ctrl 10x 2_colony_372.tiff,221,56.184,21.202,13.271,118.907,0.880,56355,56355,1.598,0.626,0.936
356,7 pat p30 7 day ctrl 10x 2_colony_373.tiff,150,44.870,15.249,12.525,51.451,0.936,38250,38250,1.217,0.821,0.929
357,7 pat p30 7 day ctrl 10x 2_colony_374.tiff,201,51.698,17.310,14.785,128.117,0.945,51255,51255,1.171,0.854,0.941
358,7 pat p30 7 day ctrl 10x 2_colony_375.tiff,230,57.012,20.506,14.281,139.679,0.889,58650,58650,1.436,0.696,0.918
359,7 pat p30 7 day ctrl 10x 2_colony_376.tiff,172,47.941,16.260,13.468,77.018,0.940,43860,43860,1.207,0.828,0.927
360,7 pat p30 7 day ctrl 10x 2_colony_377.tiff,212,53.355,18.378,14.687,149.436,0.936,54060,54060,1.251,0.799,0.930
361,7 pat p30 7 day ctrl 10x 2_colony_378.tiff,255,59.598,21.812,14.885,26.950,0.902,65025,65025,1.465,0.682,0.934
362,7 pat p30 7 day ctrl 10x 2_colony_379.tiff,244,57.355,18.516,16.778,108.889,0.932,62220,62220,1.104,0.906,0.931
363,7 pat p30 7 day ctrl 10x 2_colony_380.tiff,165,47.113,16.254,12.925,96.818,0.934,42075,42075,1.257,0.795,0.924
364,7 pat p30 7 day ctrl 10x 2_colony_381.tiff,291,64.426,23.646,15.669,63.131,0.881,74205,74205,1.509,0.663,0.933
365,7 pat p30 7 day ctrl 10x 2_colony_383.tiff,168,47.698,16.943,12.625,86.375,0.928,42840,42840,1.342,0.745,0.933
366,7 pat p30 7 day ctrl 10x 2_colony_384.tiff,217,54.527,20.197,13.680,76.466,0.917,55335,55335,1.476,0.677,0.941
367,7 pat p30 7 day ctrl 10x 2_colony_385.tiff,212,52.527,17.800,15.164,124.341,0.966,54060,54060,1.174,0.852,0.942
